# Matter power spectrum P(k) at redshift z=0
# for k=1.04684e-05 to 1.66088 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046838254073e-05       4.772365328719e+01 
       1.317891280091e-05       5.961259316437e+01 
       1.659126822489e-05       7.446324165146e+01 
       2.088716918220e-05       9.301333744255e+01 
       2.629538806392e-05       1.161843043582e+02 
       3.310393224666e-05       1.451269536582e+02 
       4.167538153563e-05       1.812784343234e+02 
       5.246619686142e-05       2.264332361843e+02 
       6.605102848904e-05       2.828315138107e+02 
       8.315331823999e-05       3.532688192545e+02 
       1.046838254073e-04       4.412318271648e+02 
       1.317891280091e-04       5.510653984759e+02 
       1.659126822489e-04       6.881764425303e+02 
       2.088716918220e-04       8.592793701230e+02 
       2.629538806392e-04       1.072685590300e+03 
       3.310393224666e-04       1.338634412554e+03 
       4.167538153563e-04       1.669653958445e+03 
       5.246619686142e-04       2.080928937861e+03 
       6.605102848904e-04       2.590638959545e+03 
       8.315331823999e-04       3.220209356491e+03 
       1.046838254073e-03       3.994344779921e+03 
       1.317891280091e-03       4.940555815449e+03 
       1.659126822489e-03       6.087650572512e+03 
       2.088716918220e-03       7.463586795632e+03 
       2.629538806392e-03       9.090926243474e+03 
       3.310393224666e-03       1.098057614192e+04 
       4.167538153563e-03       1.312280858970e+04 
       5.246619686142e-03       1.547533715284e+04 
       6.605102848904e-03       1.794951614223e+04 
       8.315331823999e-03       2.039452088912e+04 
       1.046838254073e-02       2.258014370784e+04 
       1.317891280091e-02       2.418985776519e+04 
       1.659126822486e-02       2.483410924787e+04 
       2.088716902345e-02       2.412718432246e+04 
       2.629526574432e-02       2.188829855613e+04 
       3.308683386431e-02       1.845495940493e+04 
       4.110130084332e-02       1.500394717769e+04 
       4.788064447212e-02       1.301889924334e+04 
       5.279327454907e-02       1.204441052110e+04 
       5.684083138931e-02       1.143748483803e+04 
       6.045301641725e-02       1.097990649467e+04 
       6.382106366620e-02       1.057992262827e+04 
       6.704605664702e-02       1.019229005737e+04 
       7.018854821622e-02       9.791525186708e+03 
       7.328828491682e-02       9.366869079334e+03 
       7.637326282767e-02       8.915120250896e+03 
       7.946435931738e-02       8.439239975773e+03 
       8.257790514349e-02       7.948710992297e+03 
       8.572720774642e-02       7.455527650546e+03 
       8.892350111692e-02       6.972502854832e+03 
       9.217656349830e-02       6.514157800801e+03 
       9.549513321785e-02       6.092610768978e+03 
       9.888719674166e-02       5.717446636536e+03 
       1.023601929661e-01       5.394209646524e+03 
       1.059211608888e-01       5.124376659408e+03 
       1.095768479589e-01       4.904645885835e+03 
       1.133337904596e-01       4.726923490142e+03 
       1.171983735902e-01       4.579767248849e+03 
       1.211768765583e-01       4.448204496283e+03 
       1.252755064744e-01       4.316051310610e+03 
       1.295004238357e-01       4.168809347212e+03 
       1.338577617203e-01       3.995997006043e+03 
       1.383536403699e-01       3.793606010257e+03 
       1.429941785452e-01       3.565228131469e+03 
       1.477855028418e-01       3.322737715934e+03 
       1.527337560311e-01       3.081782685551e+03 
       1.578451054088e-01       2.859080415161e+03 
       1.631257520845e-01       2.667760743882e+03 
       1.685819421135e-01       2.514189402212e+03 
       1.742199803529e-01       2.396287841402e+03 
       1.800462479109e-01       2.304119829698e+03 
       1.860672240483e-01       2.223119889335e+03 
       1.922895133880e-01       2.136910893160e+03 
       1.987198792910e-01       2.032622897090e+03 
       2.053652842697e-01       1.908081070530e+03 
       2.122329383440e-01       1.772274889075e+03 
       2.193303563010e-01       1.639718886310e+03 
       2.266654249187e-01       1.523347540903e+03 
       2.342464813618e-01       1.429975010731e+03 
       2.420824041728e-01       1.357883614849e+03 
       2.501827185893e-01       1.296960052810e+03 
       2.585577183364e-01       1.234477147125e+03 
       2.672186066077e-01       1.162859297238e+03 
       2.761776597031e-01       1.083124242240e+03 
       2.854484177880e-01       1.003905656552e+03 
       2.950459085576e-01       9.348625120558e+02 
       3.049869113365e-01       8.789469325181e+02 
       3.152902714703e-01       8.312125036254e+02 
       3.259772779904e-01       7.840754059307e+02 
       3.370721217644e-01       7.330337857748e+02 
       3.486024571612e-01       6.807850668452e+02 
       3.606000983321e-01       6.329536318638e+02 
       3.731018926120e-01       5.920538427100e+02 
       3.861508298726e-01       5.549683340577e+02 
       3.997974704700e-01       5.177419499809e+02 
       4.141018097800e-01       4.801352153184e+02 
       4.291357508852e-01       4.450005133061e+02 
       4.449864399589e-01       4.133183429292e+02 
       4.617608506186e-01       3.833534490327e+02 
       4.795922183591e-01       3.536505338981e+02 
       4.986492873030e-01       3.252720690699e+02 
       5.191499594645e-01       2.989460655188e+02 
       5.413820712071e-01       2.733373852311e+02 
       5.657361618917e-01       2.485074414998e+02 
       5.927593414235e-01       2.247676131371e+02 
       6.232482534737e-01       2.014719860653e+02 
       6.584189757001e-01       1.786711320616e+02 
       7.002391507253e-01       1.559573167095e+02 
       7.521290423117e-01       1.330496315302e+02 
       8.205607699324e-01       1.094467955593e+02 
       9.188378126473e-01       8.469357047741e+01 
       1.074142796205e+00       5.916808846035e+01 
       1.321540063168e+00       3.647013000813e+01 
       1.660879919507e+00       2.118716421163e+01 
